Q3,Q4,Q5,Q6,Q7,Q8,Q16,Q40,Q37
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution,Urban Institution",1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I had 6 advanced graduate students.  We moved lecture to Zoom and I continued to hold office hours, but moved them to Zoom.  Everything else, including oral reports, was the same.  I used the honor system for the closed-book portion of the exam and I don't think anyone cheated.  I was very lucky to have this class this semester.  It was easy.  Also, I had practice, as I taught in this mode last Fall due to recovery from surgery."
Four Year Private College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,5-6 days,Tenured instructional faculty,"I was much slower online and found I repeated myself more. I believe this is because it was harder to gauge how well everyone understood, where as I can tell from facial expressions/physical cues when face to face. I also made the mistake of not initially requiring students to participate with cameras on."
Four Year Public College/University,Ph.D.,NA,1,200 or more,I have never taught online or in a blended format previously.,5-6 days,Tenured faculty with research expectations,"The lab portion of the class was changed to be more like thought experiments and reasoning about the physics and was conducted via zoom using breakout rooms.  The most challenging aspect of the class was conducting exams that were fair, not prone to cheating, and not overly burdensome with anti-cheating measures."
Four Year Public College/University,Bachelor's,Urban Institution,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I typed up my lecture notes and made them available ahead of time, then talked through them over Zoom during the normal class time. Some derivations I worked out on paper while showing them using a document camera."
Two Year Public College,Associate degree,"Minority-Serving Institution,Hispanic-Serving Institution",3,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Full time instructional faculty without tenure,"For the Spring I continued teaching synchronous lessons and posting notes, but no recordings. I had issues with the recording software during live lectures and trying to record lectures to post. Very frustrating and time-consuming. I don't have any training for methodology or with the software/hardware associated with video recording and editing. I have used simulations for some labs but they are not adequate for every physics lab, students need hands-on training with equipment and face-to-face time with instructors. Lecture notes do not substitute for live lectures and problem-solving sessions. The few times I've tried to record videos the files become large and cumbersome or there is some glitch, not to mention I do not have  a soundproofed, interuption-free place to make decent quality recordings. I also do not like having my students watch outside videos that do not emphasize the same problem-solving strategies and steps. And don't even get me started about online non-proctored exams or plagiarism."
Two Year Public College,Associate degree,Urban Institution,3,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Other,Teaching in the STEM area is difficult because of the lab component and making sure the students are engaged in the learning process.  The hands-on experience with labs is extremely important to students.
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Urban Institution",1,10-Jun,I have never taught online or in a blended format previously.,5-6 days,Part-time or Adjunct faculty,"I teach for the University of Nevada graduate program in atmospheric sciences (not physics per se).  There were 8 enrolled in this graduate-level class in cloud physics, and all were asked via email whether they preferred a zoom class at the appointed time or would rather receive audio files of the lectures during the week that allowed them to listen anytime during the week when it was most convenient for them.  All but one student chose the latter option, so we did it that way.  Regular homework was assigned.

The class was on aerosol and cloud physics with the first half on aerosol physics, the 2nd half on cloud physics.  I taught the 2nd half on cloud physics that began at the beginning of lockdown."
Four Year Public College/University,Ph.D.,NA,1,20-Nov,I have taught in a blended online/in-person format previously.,1-2 weeks,Tenured faculty with research expectations,"My class was not a very common model, being a research methods class that involves a lot of student writing, revision and resubmission, as well as presentations and some library research. the students fortunately had completed their second inquiry. their third inquiry became an online survey project, and their final inquiry had to either be an enhancement of their second inquiry, or something using publically available data since we were spread out by the completion of inquiry 2. some students had the equipment they needed at home for that inquiry already."
Four Year Public College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,0-2 days,Tenured faculty with research expectations,"It was a disaster, the support form the institution was minimal and irrelevant.  
I have learned a lot about doing online.  I don't see how it is possible to do assessment in any meaningful way with an online course. Instead I think the right model is the freely available MOOC, break the material up into small segments and gave exercises or interactive problems between the segments.  The student can only proceed when they have mastered that segment, and the only ""grade"" is getting to the end.
However that brings into question the way Universities are funded from tuition.  It would be more honest to pay us for what we really do, scholarship and research and have the teaching free"
NA,Ph.D.,NA,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"too much work worrying over technical issues for myself and students
exam cheating is huge, and there seem to be no viable method to prevent it

almost all lab courses are useless if online

students seem much less focused on their classwork when online
it seems that they really view it as one task after another that are disconnected


"
Four Year Public College/University,Ph.D.,Urban Institution,2,20-Nov,I have never taught online or in a blended format previously.,5-6 days,Tenured faculty with research expectations,"Electronic circuit simulation software made the transition remarkably smooth. New introductory material and rewriting of lab descriptions were necessary. However, in the end there was value added to the students who learned in-lab techniques during the first half of the semester, and simulation techniques during the second half."
Four Year Public College/University,Master's,Urban Institution,1,51-100,I have taught fully online previously.,3-4 days,Tenured faculty with research expectations,"With just a few days to prepare, I don't think this was an ideal time to assess how well we taught online.  If we are online in the fall, we have a lot more time to prepare and my institution is giving us some courses to help us produce the best possible online experience for our students.
"
Four Year Public College/University,Bachelor's,"Rural Institution,Urban Institution",4,36-50,I have taught fully online previously.,1-2 weeks,Tenured instructional faculty,"Zoom proved useful.  I was able, using chat rooms, to divide students in groups and basically follow our interactive, studio-style approach with little modification.  Students were responsive and were willing to participate and talk to each other.  Tests were modified to reduce duration, but I felt I could give more complex problems because they were basically open textbook ones :) .  I was lucky to have a reduced teaching load last semester because of my activities in Faculty Senate (I have a 6 hour reassigned time).  Had I had a full load, things would have been much more daunting."
Four Year Public College/University,Bachelor's,"Minority-Serving Institution,Hispanic-Serving Institution,Black-Serving Institution,Urban Institution,Women's College,Men's College",5 or more,51-100,I have never taught online or in a blended format previously.,0-2 days,Tenure-track with research expectations,"Although online teaching may take more time for preparation at the beginning, after done the preparation, the course will become easier. However, online teaching always leaves me an impression informal, as it is still difficult to ensure the progress of the students truly. Also, the tests and homework sets all become problematic as perceived cheating. Another thing about physics online teaching is that students feel uncomfortable to this learning way."
Four Year Private College/University,Ph.D.,NA,1,200 or more,I have never taught online or in a blended format previously.,1-2 weeks,Full time instructional faculty without tenure,"From overall experience, some classes are perfect online (say, programming, skills courses etc) same are ok (like astronomy or any seminar like course) and some suck - any lab based courses, including physics intro"
Four Year Public College/University,Ph.D.,Rural Institution,1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,Electronic resources for testing and assessment of quantitative and computational courses in the sciences are abysmal.
Four Year Public College/University,Bachelor's,Rural Institution,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I teach in a guided inquiry format with students mostly working on small groups. This was maintained by using Zoom breakout rooms. Evidence to support/refute student thinking was provided via videos of experiments, rather than students performing the experiments themselves. The most frustrating aspect was that normally we have whole class discussions to come to consensus and it was much harder to get significant participation in this online."
Four Year Private College/University,Ph.D.,NA,1,36-50,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"I think it went okay for the students -- the course evaluations indicated that the students obviously missed campus but that the course itself went well.  Also, the grades (homework, exams etc) stayed hte same or improved from the first half of hte course so there wasnt a major loss of learning.  It was just a lot more stressful for me and took a lot of my time."
Four Year Public College/University,Bachelor's,NA,3,36-50,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I am teaching summer school now, and I am trying to implement strategies based on lessons-learned from the Spring."
Four Year Private College/University,Ph.D.,NA,1,36-50,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"Exams were forced to be open book with huge extra time.
Nowhere near as rigorous as normal.
Grading was just pass/fail.   Hard to take seriously.
"
Four Year Public College/University,Ph.D.,NA,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Tenure-track with research expectations,"My experience with online teaching is having students working in groups is a strong encouragement for students to attend synchronous meetings.
Most of my students attended the synchronous classes, even though they did have an option between synchronous and asynchronous."
Four Year Public College/University,Ph.D.,Urban Institution,2,21-35,I have taught in a blended online/in-person format previously.,5-6 days,Tenured faculty with research expectations,horrible.
Four Year Public College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,0-2 days,Tenured faculty with research expectations,"It is not as effective as teaching in person. Student engagement is a major problem. The University gave only lip-service support to faculty. Mainly, professors were on their own."
Four Year Public College/University,Bachelor's,NA,2,20-Nov,I have never taught online or in a blended format previously.,0-2 days,Tenured faculty with research expectations,"I was lucky in that I had already prepared some electronics lectures in an online circuit simulator, circuitlab.  There was another instructor who had to catch up a bit.  I wish I had used zoom more but had experience with google meet, OBS, twitch and youtube.  I was also able to share some of the preparations with the other instructor.  We only had to teach 2-3 online classes before spring break.  That also helped.  In addition, I was doing some epidemiological modeling for the state department of health and welfare. That was a bit of a distraction and stressors but kept me busy enough to not worry too much about other things going on."
Four Year Public College/University,Master's,Minority-Serving Institution,2,36-50,I have never taught online or in a blended format previously.,3-4 days,Tenure-track with research expectations,"Teaching Introductory Physics online is highly NOT recommended. I spent 3 times more time on Webex then face-to-face to help them understand Lenz Law, or the right-hand-rule, or the Brewster angle polarization... just to name a few basic concepts. The impossibility to do think-pair-share, peer-to-peer instruction, and many other student engaging techniques made my class more of a traditional teaching style, which I dislike because it's inefficient. Interactive engagement is imperative to Physics teaching. Over Webex sessions, I could tell that some students had other ""occupations"" and they were not paying attention to class. Others signed in but were not ""really attending"". Other did not attend at all. E.g. one student dropped from A-student from before COVID19 to C-student level in just 5 weeks. The amount of EXTRA time I had to put in (besides 6 hr. contact class time and 2 hr. study session weekly) to get the students at the same level was beyond expectations. towards the end I started keeping score: in the last 3 weeks of class I spent extra time as follows, week#12: 12 hr 20 min; week#13: 3 hrs; week#14: 11 hr.  The number of emails I answered and the number of GroupMe text messages I relied to to keep the students engaged and focused are not included above, but they were another burden of the unfortunate Physics online teaching. Not to mention that cheating can't be controlled. With online teaching I cannot guarantee the quality of my assessment. Even with Lockdown Browser and Respondus proctoring system, some grades were a higher then expected... but that's what it is."
Four Year Public College/University,Ph.D.,NA,1,51-100,I have never taught online or in a blended format previously.,3-4 days,Tenured faculty with research expectations,"The format of my class was studio physics, which means that A.)  the students spend most of their time lecture days working problems in groups, and B.) those same groups would do the labs that were integrated with the course material.  The shutdown came during spring break, which meant I had about three days to figure out the remainder of the five weeks left in the semester.  The work in groups I used the Zoom breakout rooms to put students together for group work on shared whiteboards.  I wrote online simulation based labs to make up for the ones that we would have done in person, and allowed students the option of submitting their lab reports themselves, but also meeting at the normal class time (I estimated about 1/4 of students attended the videoconference for the labs).  Tests were submitted online, and I chose not to use strict proctoring like Honorlock.  Grade results for the remaining exams were not very different from previous in class semesters, so if there was cheating, it was fairly ineffective.  Exams were submitted and then marked up using Canvas' annotate feedback tool.
Overall, except for the students who for some reasons simply never attended class again and did not drop/withdraw, the whole experience worked ""enough"".  Not something I would choose to do, and somehow more work, but even those students I was most worried about (including those with accommodations) seemed to finish out okay."
Four Year Public College/University,Ph.D.,NA,1,200 or more,I have never taught online or in a blended format previously.,5-6 days,Tenure-track with research expectations,"We are on the quarter system, so the biggest challenge was to be thrown into this suddenly from the design perspective up. In addition, I was sick with COVID19 in the interquarter break, so it took me a couple of weeks to even get to a level bearing. I feel I have lost a lot of contact with students, it's harder to support students who are struggling, I have to continually experiment as I find the tools do not do what I expect them to, the level of cheating is very high, and there is simply not enough time to deal with all the issues that are happening. On the other hand, students are making use of the resources, there are new opportunities to provide support during exams, and for some students this has turned out to be a better format for self-paced learning."
Four Year Public College/University,Ph.D.,NA,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Other,"As a graduate student, I wasn't particularly involved in the transition to online teaching midway through the spring semester, so I don't know too much of what the faculty were up to.  I did end up scanning a lot of documents to PDF for one of the classes where I was a teaching assistant, and set up a Discord channel for the students of the class.  I'm not sure the professor did much for that one, beyond providing the scanned notes.  

he other class I was TA for during the spring transitioned to online using blackboard and pre-recorded lectures.  The homework changed to blackboard assignments/quizzes, and the labs were moved online by way of providing the students with video and photographs of the experimental apparatus in use, so they could make their own measurements.  From what I heard it didn't always go well, and some students struggled working on their own.  

This summer, I am teaching one of the introductory physics lecture courses.  The class is completely online.  I'm using Zoom to do lectures at the normal time the class would meet if it were still done in a classroom on campus, and use the screen sharing features to use an art program as a virtual whiteboard (I have a tablet, so writing is quite easy this way).  I record my lectures and post them online in case a student misses a lecture, although I do still expect them to attend them live whenever possible.  

For the homework, since the overall summer class enrollment is relatively small, the students are working assigned problems by hand and uploading the scanned work to Blackboard to turn it in.  The tools available to me for grading work handed in in this manner are less than ideal, but I do prefer the approach of handling things as much like an in person class as possible.  I administered the first exam (the class is still ongoing) as a test in Blackboard, with most questions as essay questions so the students could show their work by typing it in.  This did not go over as well, so I will probably explore ways for the students to just provide their own handwritten work going forward.  

I think the labs for the summer courses are following the style from the end of last semester.  The lab coordinator takes pictures and video of all relevant measurements and the students are expected to use them to sort of do the lab on their own.  Labs have three Zoom sessions a week where the lab instructors can speak with the students and help them with any questions.  We have encountered some issues with the photos and other information for lab (provided in a folder on google drive) not being organized well, and are working on improving it.  An unusual issue we encountered for lab is that the lab coordinator used a color coding system for the masses added to a hanger in one experiment, so students would need to ""read"" the total mass based on colored tape on each mass.  One student is colorblind, so that method had to be abandoned."
Four Year Public College/University,Ph.D.,Urban Institution,1,20-Nov,I have never taught online or in a blended format previously.,5-6 days,Tenured faculty with research expectations,"Since this semester I had decided to prepare my in person classes in Power Point, delivering them on a Tablet with a stylus which allowed for handwriting during a Power Point delivery, the transition to on-line was pretty straightforward regarding the content. However, not being able to see the students' faces during the lectures was a big minus and, while the students still were able to ask questions, I've noticed that their participation on line was less than in face to face classes.
A positive side was that absolutely every student joined the on-line synchronous class, while some students would miss face-to-face classes; but my impression is that it happened because it was a way to find a ""real life"" community during the COVID-19 crisis, i.e., my impression is that this may not be the case for on-line classes in regular times."
Four Year Public College/University,Ph.D.,Urban Institution,5 or more,21-35,I have never taught online or in a blended format previously.,0-2 days,Tenured faculty with research expectations,"limping along, improvising, testing is insecure"
Four Year Public College/University,Ph.D.,Urban Institution,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"The assessment in the graduate course I taught Spring 2020 was already project based which turned out to be easy to transition to online. Their presentations on their projects were also easily moved online using Zoom. Collecting, grading, and returning homework was difficult and in the end I eliminated it. Providing flexibility turned out to be very important to the students."
Four Year Private College/University,Ph.D.,NA,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I was surprised that at least initially, most of my teaching effort had to go into working with and to the extent possible, assuaging, student anxiety about the overall global situation and our specific course situation.  We spent a week or more after the transition to online talking about expectations and course format in gory detail.  I don't know that I was expecting that, or at least expecting it to that extent, and given that the situation in the fall will be similar (uncertain students being taught by non-expert online teachers) I'd like to be able to plan for it better.

I also found it even more difficult when lecturing via recording or Zoom to gauge what students were understanding and what they weren't and left very uncertain how to assay this in an online format.  I usually use informal hand-raise style queries in person and didn't find a great substitute for this kind of on the fly communication in an online lecture.  I've tried PollEverywhere and found it forever clunky and unfriendly and am forever fighting with students being signed in correctly, etc..."
Four Year Public College/University,Bachelor's,Urban Institution,3,51-100,I have never taught online or in a blended format previously.,3-4 days,Tenured faculty with research expectations,"I was very fortunate that enrollments in my courses were all low (under 20) so I knew the students well and could mostly trust them to take at-home paper tests on the honor system.

I had to laugh at your list of technologies I could have used. There was no time even to research what the options were! I desperately needed a personal consultant who could make technology recommendations and answer my questions about what various technologies would and wouldn't do--and my university provided no such consultant. Moreover, I didn't want to impose stringent technical requirements on my students on such short notice. So I just kept things as low-tech as possible, telling students to read their textbook and then type questions in online discussions. I learned that many of them find reading distasteful. They really prefer watching videos!"
Four Year Private College/University,Ph.D.,Urban Institution,3,36-50,I have never taught online or in a blended format previously.,1-2 weeks,Other,"I was fortunate to already be regularly using a significant number of online tools with my face-to-face course. These include my LMS (Blackboard) - including Blackboard Collaborate for ""Online Office Hours"", which I've held in the last evening as an option for students for many, many years). I already use an online homework system in the class (MyOpenMath). I repurposed this system to build the online class into two asynchronous learning modules per week, complete with built-in exercises/assessment. Further, I've personally taken about half a dozen online courses in the past year (all related to instructional design and multimedia design), so I was very well equipped to move my own course online (I am so glad that I took these courses - turned out to be brilliant timing, in hindsight)! Most faculty, however, went into this situation with a lot less training and experience then me...

I went fully asynchronous due to timezone and time management issues (including being stuck at home with a kindergartener) and my biggest takeaway was that while that was the most flexible and convenient, I did miss regular synchronous interaction with the students. For the Fall, I plan to continue with significant asynchronous content but also incorporate more synchronous aspects to help maintain a class learning community. My university intends to have some face-to-face class time but my class is based on groupwork/active learning that won't work in a socially-distanced classroom..."
Four Year Public College/University,Ph.D.,"Rural Institution,Urban Institution",2,21-35,I have taught fully online previously.,1-2 weeks,Part-time or Adjunct faculty,"I don't use Zoom, because I am very shy/embarrassed/uncomfortable with being on camera.
I don't want to use AV conferencing technology.
I don't want to use any such tech media as a primary means of communication. It is inefficient, frustrating, reduces learning, strains communication, and doubles everyone's workloads.
My anxiety through all of this is greatly magnified as I have ASD and GAD.
I've also had a similar experience with transition to online labs... many students wrote in their evals that they need to see and get their hands on the equipment to understand it.
Online learning works well for too few people to replace live instruction.
Go back to meeting in person and make online a ""last resort only"" strategy.

FYI, the one online ""class"" that I have previously taught was online astronomy lab. It's just preformatted questionnaires and students can email me with questions.

With regard to the 30-minute interview question in this survey, as I explained, I am uncomfortable with being on camera. Perhaps phone or email would work better, but, given my hesitation (rather than willingness) to be contacted for such an interview, I will have to decline entering my email in that field."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution,Rural Institution",2,36-50,I have never taught online or in a blended format previously.,0-2 days,Tenured faculty with research expectations,"Since I had a small (10 people) graduate class, and a good rapport with those students, the transition was very easy for me. My students did not have kids so we could meet at our regular class time, but I also recorded lessons in case someone had to miss. I tried to get the same amount of interaction as we had before the transition to online, with virtual office hours, virtual student meet-ups/study-groups, and lots of opportunities to answer questions and ask questions during lessons.
My colleagues and I met for coffee most days to talk about what was working and what was not. I know some faculty members struggled, but I honestly think that where there is a will, there is a way to teach in a fun and engaging way.
I should note that I extensively used Canvas/Blackboard for my face-to-face classes before the transition to remote learning, so that really prepared me as all my materials were neatly organized already online and I had given out electronic assignments before. For some of my colleagues, this was all new."
Four Year Public College/University,Ph.D.,Urban Institution,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,Other,"Because of this lecture online, two benefits arose. 1: Students from other campuses are able to listen.   2: Since Zoom can record my lectures, the nearly entire lectures have become instant volume of video lecture notes. The students and my colleagues can enjoy them."
Four Year Public College/University,Ph.D.,Urban Institution,3,36-50,I have never taught online or in a blended format previously.,3-4 weeks,Full time instructional faculty without tenure,Use of zoom and U-Tube videos!
Four Year Public College/University,Bachelor's,NA,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I changed as little as possible. I did live video classes with a virtual whiteboard, with recordings for those who could not attend. Assignments were unchanged except labs were done virtually. Exams were take-home, and about half of the class was reported for academic dishonesty."
Two Year Public College,Associate degree,NA,3,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured instructional faculty,"In general, onliine wasn't as horrible as initially anticipated. Zoom breakout sessions work reasonably well with the ISLE approach I've used predominantly and most activities only needed to be modified slightly, often in the form of videotaping demos and labs. There were of course issues, particularly around time management and adapting labs for a video format. Some worked well enough, others not so much. Also, some students experienced tech problems, as did I from time to time. All that said some students tended to become more involved with the online format. The pros did not outweigh the cons in my mind and I don't particularly look forward to doing this again in the fall, except to say it is looking like the safe thing to do. I don't want to put myself and others at risk for the sake of having them drop a coffee filter rather than make measurements off a video. Mostly what I need to prepare is simply more time, although I also will try to improve on managing the sessions productively and try out ideas around making the labs asynch."
Four Year Public College/University,Ph.D.,NA,1,101-200,I have never taught online or in a blended format previously.,3-4 days,Tenure-track with research expectations,"The transition was most difficult for my most vulnerable students (i.e., non-white / non-male students)."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution,Black-Serving Institution",2,101-200,I have never taught online or in a blended format previously.,1-2 weeks,Full time instructional faculty without tenure,"I really miss the face to face classroom.  You can read people's faces.  I get feedback from them.  They get it from me.  Gestures, facial expressions are way better if I'm not a disembodied head."
Four Year Public College/University,Ph.D.,Urban Institution,2,36-50,I have never taught online or in a blended format previously.,3-4 days,Part-time or Adjunct faculty,"Speed of responding to emails is key.  Many students complimented on how quickly I was able to respond to their questions.  This shows how much you actually care for the students.
Explaining physics through an email is difficult.  Taking the extra time to show the individual mathematical steps made it far easier for the students to understand."
Four Year Public College/University,Ph.D.,Hispanic-Serving Institution,2,101-200,I have never taught online or in a blended format previously.,1-2 weeks,Other,The students I have interviewed hate it as do I.   Just too standoffish.  Physics is a how things work endeavor and remote teaching denigrates this experience.   Only about 1/3 students attend the synchronous lecture where we use chat for questions (very few)...so I assume the rest of the class listens to the saved cloud recordings.  Difficult and time consuming to save more than 1MB  or ~ 6 lectures.  I spend ~15 hours more per week teaching this way.  We have developed real on-line physics courses (took 2 years) in the past and the students hate these also.
Four Year Public College/University,Bachelor's,NA,2,51-100,I have never taught online or in a blended format previously.,3-4 weeks,Tenured faculty with research expectations,"After limited experience with my own and my department colleagues' approaches to online teaching during the spring term, I have an ""emerging belief"" that synchronous meetings, despite concerns about being less flexible and/or equitable, are essential for securing and maintaining student engagement in learning.  I plan to incorporate a substantial synchronous component to any and all future online courses."
Four Year Private College/University,Ph.D.,Minority-Serving Institution,1,101-200,I have never taught online or in a blended format previously.,5-6 days,Tenure-track with research expectations,"My two biggest concerns were:
1) I was not aware of the large population of students who do not have access to a computer. Many of my students were working from their phones or tablets. In many cases, they had to share one device with other people.
2) Many of my students had to take a job to help their families (delivering stuff or at supermarkets). 
With all this combined, it is impossible to teach synchronous. As instructors, I believe it is crucial to be flexible about these restrictions."
Four Year Private College/University,Bachelor's,"Minority-Serving Institution,Urban Institution",4,51-100,"I have taught fully online previously.,I have taught in a blended online/in-person format previously.",1-2 weeks,Full time instructional faculty without tenure,"I already teach my face-to-face classes using a flipped model, so I already had lots of resources for the students.  The transition for both the students and I was very smooth."
Four Year Private College/University,Ph.D.,Urban Institution,1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Tenured faculty with research expectations,"I found a tablet+software recreated the blackboard/whiteboard experience well. However, there is a definite lack of good software for this! 

Students need a bit more encouraging and stimulating during class time to keep focussed. Breaking things up works well."
Two Year Public College,Associate degree,Urban Institution,2,20-Nov,I have never taught online or in a blended format previously.,5-6 days,Part-time or Adjunct faculty,"(1)  What your survey does not include is difficulties with technology starting from an old laptop with an old operating system and a shaky internet access even in a rather affluent neighborhood on my end, to students dialing into Blackboard Collaborate from a phone, having spotty internet access, and often no space to work quietly.
(2)  Your questions focus very much on modern technology.  Besides slides in PPT, nearly all my lectures were on paper with an old webcam showing everything I derived or example I went through.  Better than any fancy gaget (if I can fix some problems with the autofocus).
(3)  The main problem in online teaching is two-fold:  It is much harder to judge students' comprehension even in small-group breakout sessions, and most importantly performing equitable tests. The latter is really the main challenge as I go into summer teaching."
Four Year Public College/University,Ph.D.,Rural Institution,3,21-35,I have never taught online or in a blended format previously.,1-2 weeks,Other,online teaching lacks many key aspects of coursework including hands on lab time and and face to face interactions with group work. Online teaching particularly for lab courses is a far cry from in person lab experience and IMHO is not much more than busywork. I have discussed this with other TA's who are similarly frustrated with the unprecedented situation but online teaching is not taken seriously by students on average.
Four Year Public College/University,Bachelor's,Rural Institution,3,36-50,I have taught fully online previously.,1-2 weeks,Tenured faculty with research expectations,We teach in a guided-inquiry style so we simply moved that to Zoom and used Breakout rooms for our groups and popped in and out to help/check-in on each group's progress. We made videos of each of the experiments they would have done in person and provided those via our LMS. We did not have great discussions on Zoom as it was too easy for students to not turn on their video and remain silent. We felt blind as the visual clues we had so relied on were not available via Zoom. Teaching a guided-inquiry style course on-line was do-able but we would need to work hard on getting the same level of interaction that we did in person. Online assessment without cheating was hard. We had a large number of students upload our final exam questions to Chegg which we caught. We hadn't realized that they could get real-time answers to uploaded questions.
Four Year Public College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,5-6 days,Tenured faculty with research expectations,"The biggest challenge was to ensure students' participation and active engagement. This was somewhat of an issue even when teaching face to face; some students sat in the back and did not always pay attention. During remote ""class"" about 20% of students did not log in and it is unknown how many of them were paying attention. Only about 10-20% asked questions. We also had asynchronous discussion/problem solving forums through Canvas, about 50% of students participated regularly in that, and about 10% not at all."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Rural Institution",1,101-200,I have never taught online or in a blended format previously.,0-2 days,Tenured faculty with research expectations,"I taught an advanced grad class with an enrollment of only 6 students. We transitioned to online only part way through the semester, so expectations for students were very much in place and the transition was not challenging. We used MS Teams, on the recommendation of my institution, to meet synchronously every lecture. I used the files function to upload updated syllabus, general and project information. I used the chat window to get students to answer on the fly questions, making sure they could write an answer down and then all submit simultaneously to reveal answers - a little like clicker questions. Overall, the learning gain through the semester was a little higher than previous face-to-face delivery of the same course. Statistically that might not be significant though given the size of the group."
Four Year Public College/University,Ph.D.,NA,3,101-200,I have never taught online or in a blended format previously.,0-2 days,Part-time or Adjunct faculty,"In Michigan the governor announced no closures would be forthcoming; the next week she issued stay at home orders.  The next day our university announced that the following day we would be online.  Last minute changes like that, while fully understandable, made it a nightmare.  I think going forward all faculty should have a backup, fully online lesson plan ready to go.  My greatest concern in all of this, however, is grade inflation and lack of ability to do in person lab exercises.

As an aside: online education does not in any way, shape, or form work.  Khan Academy, youtube, etc. are not substitutes for in person instruction.  Anyone who thinks online education is the way of the future doesn't understand what education is and should lose their job."
Four Year Public College/University,Ph.D.,NA,4,21-35,I have taught fully online previously.,5-6 days,Other,"Physics labs are suffering from being online. I think this is the area impacted the most.

Working under professor's who really focused on making the best of things made for very smooth transitions. Working under professor's who did not focus on making the best of things made for very rough transitions."
Two Year Public College,Bachelor's,"Minority-Serving Institution,Hispanic-Serving Institution,Urban Institution",1,36-50,I have never taught online or in a blended format previously.,3-4 days,Part-time or Adjunct faculty,"Since the transition was abrupt we were not able to get anything from the department so I really missed the demos we usually carry out to explain better. I was able to cobble together some at home ( which I aim to use in in class too). 
The other thing I missed was ' writing area / board space'.
"
Four Year Public College/University,Bachelor's,Urban Institution,3,36-50,I have never taught online or in a blended format previously.,3-4 days,Tenured faculty with research expectations,"At first I tried to make the class as identical to F2F as possible. That quickly fell apart as I do a lot of in-class collaborative work with the students working in groups of 2 to 3. The other issue is that my students had to struggle with both tech access (both computers and wifi) and time shifts with both work and home pressures. Within a week about a third of my students went asynchronous and just watched the Zoom recordings. 
I used Canvas extensively to add videos of lecture demos and to provide links to physics applets. In future I would plan to make exams/quizzes that directly tie into these applets. 
The biggest transition for me was going to all lecture format with only some student feedback via Chat. I tried various polling programs but the tech issues with the students all having different systems was too much of a disruption rather than a help, plus, a third of my students were not live anyway, so polling (sort of ""clicker style"" questions) seemed somewhat pointless. 
The biggest misery was exams. I'm certain that cheating was prevalent. On the simplest level, the exam averages went from low 70s to upper 80s. I also had to spend extensive time rewriting my exams so that they could not be simply Googled to find complete solutions."
Four Year Private College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,3-4 weeks,Tenured faculty with research expectations,"It isn't that different from a face-to-face class. I rapidly got used to it. The biggest difference is figuring out how to use digital tools more effectively. Some of my colleagues simply scribbled on paper under a document camera, or filmed themselves in front of a chalkboard---boring. A digital whiteboard allows more options that help keep students engaged...graphics, slides, videos (did not use), highlight pens, etc. Also Zoom polls."
Four Year Public College/University,Bachelor's,Urban Institution,1,51-100,I have taught fully online previously.,5-6 days,Other,"Previously I gave closed book exams in a proctored location (testing center).  Now I am giving online, open book exams that the students take at home.  Test scores have risen somewhat, and I wonder whether my class is now sufficiently challenging for my new teaching strategy."
